Customer_Name,Age,Annual_Income,Credit_Score,Employment_Status,Debt_to_Income_Ratio,Loan_Amount,Loan_Term_Months,Past_Loans,Defaults,Marital_Status,Education_Level,Risk_Flag
Amit Kapoor,28,370369,756,Salaried,0.54,145935,60,4,0,Single,Undergraduate,1
Amit Tripathi,49,453781,719,Business,0.31,148571,72,2,0,Single,Graduate,0
Nisha Pandey,28,535737,719,Salaried,0.53,173978,36,3,0,Married,Undergraduate,1
Nisha Choudhary,21,784016,748,Self-employed,0.22,196859,36,0,0,Single,Undergraduate,0
Tanvi Chatterjee,48,447084,734,Salaried,0.29,46646,60,0,0,Single,Postgraduate,0
Divya Mishra,31,360178,758,Business,0.58,133520,24,3,0,Single,Postgraduate,1
Nisha Menon,54,753597,536,Self-employed,0.26,278082,12,3,1,Single,Postgraduate,1
Nisha Malhotra,30,604441,730,Government,0.15,179983,36,6,0,Married,Graduate,0
Amit Malhotra,38,1022382,751,Business,0.53,445137,48,5,0,Single,Undergraduate,1
Ankita Thakur,39,356235,696,Unemployed,0.51,136258,12,4,0,Single,Postgraduate,1
Ajay Sharma,21,218877,622,Self-employed,0.49,70776,72,2,2,Single,Graduate,1
Isha More,32,380346,679,Government,0.33,46600,12,3,1,Single,Graduate,0
Neha Iyer,38,292548,721,Government,0.58,73121,12,0,0,Married,Postgraduate,1
Meena Joshi,50,455297,612,Salaried,0.32,191608,72,4,1,Married,Graduate,1
Riya Bhosale,37,445207,687,Government,0.58,137675,60,0,0,Married,Postgraduate,1
Priya Nair,27,356478,828,Government,0.41,118965,24,7,0,Single,Postgraduate,0
Manoj Menon,38,491269,609,Salaried,0.27,82470,48,3,2,Single,Postgraduate,1
Vikram Nair,32,224981,635,Business,0.23,54926,12,3,3,Married,Graduate,1
Varun Kulkarni,38,1130403,756,Government,0.44,186569,12,5,0,Single,Postgraduate,0
Sunil Reddy,29,1027195,541,Business,0.56,136719,36,5,2,Single,Postgraduate,1
Ankit Sharma,22,486402,791,Self-employed,0.34,240338,12,2,0,Single,Postgraduate,0
Manoj Sharma,30,200000,788,Self-employed,0.58,87369,36,4,0,Single,Postgraduate,1
Divya Choudhary,37,347254,811,Salaried,0.56,116003,72,4,0,Married,Graduate,1
Ajay Kadam,37,378317,552,Salaried,0.16,182205,36,4,2,Single,Graduate,1
Kavita Chatterjee,38,566484,679,Government,0.34,245031,36,1,1,Married,Postgraduate,0
Suresh Reddy,30,333824,850,Salaried,0.31,138158,36,5,0,Married,Graduate,0
Kavita Iyer,25,623451,764,Salaried,0.3,171442,36,6,0,Single,Undergraduate,0
Kavita Kadam,21,529709,817,Business,0.33,245884,48,5,0,Married,Postgraduate,0
Swati Patil,44,521962,678,Business,0.23,148056,36,1,1,Single,Graduate,0
Preeti Sawant,42,200000,672,Salaried,0.42,39211,48,2,0,Single,Graduate,0
Deepak Bhosale,23,564579,739,Salaried,0.34,207213,48,1,0,Married,Undergraduate,0
Arjun Patil,32,223500,720,Salaried,0.51,53200,12,1,0,Married,Postgraduate,1
Vikram Kulkarni,35,346514,508,Self-employed,0.55,52496,60,1,1,Single,Undergraduate,1
Sunil Shinde,40,323638,658,Government,0.34,121401,72,7,1,Married,Graduate,0
Pooja Mehta,31,260461,694,Salaried,0.59,81950,24,7,1,Married,Postgraduate,1
Sunil Gupta,27,649763,617,Business,0.37,252242,24,1,2,Married,Postgraduate,1
Karan Bhosale,43,559902,651,Unemployed,0.3,79476,60,6,0,Single,Graduate,1
Arjun Reddy,44,503813,576,Salaried,0.52,68358,60,5,1,Single,Undergraduate,1
Kavita Yadav,37,697516,764,Government,0.35,94002,48,6,0,Married,Postgraduate,0
Arjun Tripathi,41,540786,811,Government,0.39,176179,12,1,0,Married,Graduate,0
Anjali Jadhav,26,221593,754,Salaried,0.28,109601,12,4,0,Single,Undergraduate,0
Preeti Pandey,54,324959,579,Self-employed,0.34,143088,60,5,2,Single,Undergraduate,1
Komal Yadav,42,475728,823,Salaried,0.51,184288,36,2,0,Married,Graduate,1
Arjun Mane,34,200000,723,Government,0.48,34963,36,5,0,Married,Undergraduate,1
Aditya Kapoor,25,608840,697,Salaried,0.45,247865,12,5,0,Single,Postgraduate,0
Riya Pandey,52,648311,680,Salaried,0.26,218839,12,5,1,Married,Postgraduate,0
Anjali Kulkarni,55,200000,567,Business,0.44,27029,60,6,1,Single,Graduate,1
Anjali Dubey,37,1461449,631,Salaried,0.5,208519,72,4,2,Single,Postgraduate,1
Ajay Malhotra,29,938945,639,Business,0.56,364910,48,3,1,Married,Undergraduate,1
Swati Yadav,22,523766,647,Government,0.2,86663,48,4,1,Single,Postgraduate,1
Varun Joshi,40,742264,503,Salaried,0.54,190745,60,7,3,Single,Graduate,1
Manoj Reddy,38,583188,703,Self-employed,0.41,184236,48,6,0,Single,Graduate,0
Pooja Kadam,21,728301,734,Salaried,0.13,139549,36,6,0,Married,Graduate,0
Sunil Patil,21,211230,771,Business,0.17,88211,48,4,0,Married,Postgraduate,0
Suresh Shinde,52,435319,746,Business,0.49,68454,12,3,0,Married,Postgraduate,1
Deepak Reddy,45,941176,712,Salaried,0.54,222901,72,5,0,Single,Undergraduate,1
Manoj Kadam,32,271201,644,Salaried,0.21,105470,72,1,3,Single,Graduate,1
Manoj Choudhary,38,884653,760,Business,0.37,177567,24,4,0,Married,Undergraduate,0
Meena Chavan,23,314855,545,Salaried,0.41,146326,60,7,2,Married,Graduate,1
Kavita Verma,28,386769,644,Self-employed,0.46,130412,36,3,1,Single,Graduate,1
Priya Mane,37,551864,700,Business,0.4,148811,36,4,1,Single,Undergraduate,0
Anjali Nair,23,269735,669,Business,0.59,117485,36,5,0,Married,Graduate,1
Karan Deshmukh,60,574914,632,Unemployed,0.27,242120,36,4,2,Married,Undergraduate,1
Isha Joshi,33,266718,547,Salaried,0.37,124808,24,1,3,Single,Postgraduate,1
Isha Deshmukh,47,293831,559,Salaried,0.33,45938,48,7,1,Married,Postgraduate,1
Rohit Mane,32,200000,675,Salaried,0.56,48991,36,6,0,Single,Undergraduate,1
Neha Deshmukh,24,572824,616,Salaried,0.6,172350,72,0,1,Married,Postgraduate,1
Nitin Malhotra,33,223831,527,Salaried,0.5,53664,24,5,1,Single,Postgraduate,1
Vivek Jadhav,21,920520,704,Salaried,0.25,354974,24,1,1,Married,Postgraduate,0
Shruti Thakur,46,205388,850,Salaried,0.35,83416,24,3,0,Single,Graduate,0
Kavita Sharma,37,389488,668,Salaried,0.24,139280,12,3,0,Married,Graduate,0
Sneha Menon,40,706330,781,Salaried,0.11,133347,12,7,0,Single,Postgraduate,0
Radhika Mane,35,218507,543,Government,0.38,99417,72,3,3,Single,Undergraduate,1
Asha Mishra,45,680771,729,Unemployed,0.59,232332,60,5,0,Married,Postgraduate,1
Suresh Iyer,31,789902,593,Salaried,0.25,362197,12,6,2,Single,Postgraduate,1
Sunil Yadav,41,200000,821,Government,0.55,85395,24,3,0,Married,Graduate,1
Sunil Patel,45,343273,653,Salaried,0.52,81725,24,7,1,Single,Postgraduate,1
Sneha Malhotra,34,711306,651,Salaried,0.21,348411,12,3,1,Single,Undergraduate,0
Sneha Mehta,36,271579,678,Business,0.19,79820,72,0,1,Single,Undergraduate,0
Riya Kulkarni,38,683423,764,Salaried,0.3,127943,72,5,0,Married,Graduate,0
Sanjay Chatterjee,22,465286,549,Salaried,0.38,167767,60,1,3,Single,Graduate,1
Sunil Mane,40,282264,607,Unemployed,0.47,56535,24,4,1,Single,Graduate,1
Shruti Kapoor,62,397184,654,Salaried,0.49,106768,72,1,1,Married,Graduate,1
Manoj Chatterjee,46,476205,662,Government,0.13,207068,12,2,1,Single,Undergraduate,0
Neha Chatterjee,37,549165,723,Self-employed,0.3,264496,36,5,0,Single,Graduate,0
Karan Pawar,36,288030,736,Salaried,0.12,59018,72,2,0,Married,Undergraduate,0
Amit Verma,37,496996,641,Business,0.27,119585,12,0,1,Married,Graduate,1
Divya Jadhav,57,649521,808,Government,0.33,84680,36,1,0,Single,Postgraduate,0
Anjali Patel,41,719475,729,Unemployed,0.28,98303,36,2,0,Married,Postgraduate,1
Vikram Iyer,21,493241,835,Salaried,0.14,238367,72,2,0,Married,Graduate,0
Rajesh Iyer,43,602794,782,Unemployed,0.52,120478,24,0,0,Married,Postgraduate,1
Meena Jadhav,45,871022,762,Salaried,0.13,320507,72,7,0,Single,Undergraduate,0
Divya Patil,39,490825,701,Salaried,0.56,55747,36,4,0,Married,Postgraduate,1
Harsh Pandey,22,553114,662,Business,0.59,264226,24,1,0,Married,Graduate,1
Kavita Gupta,35,449044,755,Salaried,0.12,152004,12,2,0,Single,Graduate,0
Nisha Chatterjee,29,288402,850,Salaried,0.54,90012,24,1,0,Single,Postgraduate,1
Divya Malhotra,32,473303,713,Self-employed,0.5,107676,48,1,0,Single,Postgraduate,1
Vikram Reddy,21,505612,751,Self-employed,0.22,55496,12,1,0,Single,Undergraduate,0
Nitin Kapoor,30,244466,850,Salaried,0.24,63393,24,5,0,Single,Undergraduate,0
Karan Kulkarni,28,200000,539,Business,0.47,39102,36,2,1,Married,Graduate,1
Vikram Mishra,21,279476,599,Business,0.12,29945,12,5,3,Single,Graduate,1
Karan More,27,200000,583,Unemployed,0.44,37460,60,1,1,Married,Undergraduate,1
Tanvi Dubey,44,397522,676,Self-employed,0.41,66312,12,3,1,Single,Undergraduate,0
Sunil Chatterjee,41,792978,809,Salaried,0.36,152464,72,1,0,Married,Graduate,0
Arjun Kadam,30,419985,721,Salaried,0.21,129063,72,3,0,Single,Undergraduate,0
Mahesh Chatterjee,46,900091,634,Government,0.45,145417,48,7,3,Married,Graduate,1
Sneha More,27,311199,850,Unemployed,0.39,42508,60,0,0,Single,Graduate,1
Komal Gupta,44,209627,622,Business,0.34,24683,36,1,2,Married,Postgraduate,1
Divya Thakur,40,760555,611,Business,0.3,189435,60,7,3,Married,Undergraduate,1
Riya Singh,36,435145,823,Salaried,0.14,81839,72,4,0,Married,Undergraduate,0
Nitin Nair,44,450425,829,Government,0.37,200798,36,0,0,Single,Postgraduate,0
Manoj Mane,43,498825,704,Unemployed,0.43,219599,24,2,1,Single,Postgraduate,1
Mahesh Reddy,43,570139,765,Salaried,0.41,228675,48,6,0,Single,Graduate,0
Rohit Kapoor,46,744228,672,Salaried,0.1,318513,36,4,1,Single,Postgraduate,0
Asha Shinde,50,525210,617,Salaried,0.14,121099,12,0,1,Single,Postgraduate,1
Nitin Sawant,28,384018,609,Government,0.1,164156,72,7,2,Married,Postgraduate,1
Radhika More,46,393101,585,Business,0.48,163342,24,3,2,Single,Graduate,1
Deepak Chavan,31,644320,758,Government,0.34,79359,48,7,0,Single,Undergraduate,0
Vivek Kadam,29,534242,805,Government,0.44,148712,36,5,0,Married,Postgraduate,0
Meena Joshi,34,621039,676,Government,0.15,274302,48,6,0,Married,Postgraduate,0
Riya Verma,29,685943,717,Unemployed,0.22,104629,36,2,0,Married,Graduate,1
Sakshi Kadam,40,548762,699,Government,0.53,266593,12,2,0,Married,Graduate,1
Asha Reddy,21,333255,773,Business,0.47,60033,36,0,0,Single,Undergraduate,1
Suresh Mishra,25,236624,795,Business,0.53,68451,12,7,0,Single,Graduate,1
Asha Bhosale,30,347706,810,Self-employed,0.11,145591,60,3,0,Single,Graduate,0
Riya Chatterjee,21,826207,719,Salaried,0.34,121389,48,0,1,Single,Postgraduate,0
Arjun Saxena,28,1088673,676,Business,0.13,362297,36,4,1,Single,Postgraduate,0
Mahesh Menon,21,322125,759,Salaried,0.33,33709,36,1,0,Single,Undergraduate,0
Swati Shinde,25,993909,777,Unemployed,0.58,460306,72,2,0,Married,Undergraduate,1
Kavita Mishra,42,272804,676,Unemployed,0.22,134946,48,7,0,Single,Graduate,1
Nitin Pawar,59,437441,721,Salaried,0.1,100867,72,1,0,Single,Undergraduate,0
Aditya Joshi,52,737905,687,Salaried,0.14,317155,36,1,1,Married,Undergraduate,0
Mahesh Kulkarni,41,271201,708,Salaried,0.16,124342,48,0,1,Married,Postgraduate,0
Nitin Mishra,36,925349,801,Unemployed,0.25,438690,60,7,0,Married,Undergraduate,1
Sanjay Yadav,43,607790,763,Salaried,0.14,278323,12,3,0,Single,Undergraduate,0
Aditya Verma,29,869557,717,Self-employed,0.34,101130,48,3,1,Single,Graduate,0
Asha Kulkarni,51,351460,818,Salaried,0.34,121709,48,2,0,Single,Graduate,0
Meena Chatterjee,45,574593,634,Salaried,0.43,171963,24,1,2,Single,Graduate,1
Deepak Bhosale,25,644778,589,Salaried,0.44,83098,12,6,3,Single,Undergraduate,1
Vivek Choudhary,40,388991,546,Self-employed,0.53,152043,36,4,1,Single,Graduate,1
Sanjay Malhotra,22,212737,697,Salaried,0.32,82989,48,7,1,Married,Postgraduate,0
Vivek Patil,45,200000,634,Salaried,0.4,92989,36,3,3,Married,Postgraduate,1
Pooja Jadhav,49,882086,629,Government,0.46,408946,48,6,2,Single,Postgraduate,1
Asha Thakur,38,520164,656,Salaried,0.35,103456,60,3,0,Married,Graduate,0
Suresh Kulkarni,42,200000,771,Unemployed,0.18,51286,36,0,0,Married,Graduate,1
Shruti Gupta,21,746764,656,Self-employed,0.1,250438,72,3,1,Single,Graduate,0
Radhika Verma,21,335603,714,Salaried,0.32,77979,12,4,1,Single,Postgraduate,0
Neha Nair,32,283935,713,Salaried,0.32,95161,24,3,0,Married,Postgraduate,0
Rahul Pawar,27,230423,792,Salaried,0.28,72215,36,0,0,Married,Undergraduate,0
Harsh Pawar,21,535506,714,Salaried,0.39,239536,24,3,0,Married,Postgraduate,0
Anjali Jadhav,31,335885,683,Salaried,0.57,38874,72,6,0,Married,Postgraduate,1
Sanjay Sawant,28,638144,673,Unemployed,0.26,193289,60,5,1,Married,Undergraduate,1
Arjun Patil,36,554747,669,Salaried,0.36,163949,48,3,1,Single,Undergraduate,0
Neha Sawant,45,769958,596,Government,0.2,284401,72,1,1,Single,Postgraduate,1
Riya Patel,37,319541,765,Salaried,0.19,120483,24,6,0,Married,Graduate,0
Ankit Singh,33,431138,695,Government,0.11,85218,12,1,1,Single,Graduate,0
Divya Verma,38,570066,695,Self-employed,0.56,193961,48,6,1,Married,Undergraduate,1
Suresh Kulkarni,32,569759,759,Government,0.39,136417,60,1,0,Married,Undergraduate,0
Deepak Yadav,34,521456,705,Salaried,0.38,206173,72,3,1,Married,Postgraduate,0
Nisha Yadav,39,200000,605,Salaried,0.43,84627,24,1,1,Married,Undergraduate,1
Rajesh Saxena,32,880155,667,Salaried,0.37,90042,36,6,0,Married,Postgraduate,0
Ankit Pandey,36,233511,548,Government,0.45,59644,12,0,1,Married,Postgraduate,1
Tanvi Verma,28,228308,811,Unemployed,0.41,65158,12,2,0,Married,Undergraduate,1
Mahesh Thakur,45,603920,684,Salaried,0.52,281242,24,4,1,Single,Graduate,1
Vivek Thakur,21,481896,486,Self-employed,0.37,192156,12,3,3,Single,Postgraduate,1
Karan Kapoor,29,855449,686,Salaried,0.32,392382,24,4,1,Single,Undergraduate,0
Radhika Sawant,36,535000,582,Self-employed,0.34,95135,60,5,1,Single,Postgraduate,1
Ankita Singh,30,557294,850,Salaried,0.44,262954,36,3,0,Single,Postgraduate,0
Meena Kapoor,21,539511,801,Salaried,0.24,143196,36,0,0,Single,Postgraduate,0
Nitin Bhosale,42,260583,685,Unemployed,0.53,109422,72,6,0,Single,Postgraduate,1
Nitin Thakur,44,317725,614,Business,0.51,79241,12,4,2,Single,Graduate,1
Divya Shinde,33,500693,850,Unemployed,0.4,209038,72,6,0,Married,Undergraduate,1
Radhika Pandey,21,1061069,580,Salaried,0.49,222742,12,2,3,Single,Graduate,1
Rajesh Singh,28,315923,702,Business,0.41,88681,48,1,0,Married,Undergraduate,0
Mahesh Kapoor,40,306368,651,Self-employed,0.15,33533,60,6,0,Married,Undergraduate,0
Riya Iyer,39,716361,850,Unemployed,0.22,183648,60,4,0,Single,Postgraduate,1
Sanjay Mane,41,203869,630,Unemployed,0.32,79469,60,2,3,Single,Graduate,1
Komal Sawant,53,745122,638,Self-employed,0.4,175022,12,7,3,Married,Undergraduate,1
Sunil Gupta,27,682864,770,Business,0.3,168518,36,5,0,Married,Postgraduate,0
Sanjay Deshmukh,52,329957,664,Self-employed,0.36,41919,12,4,1,Single,Postgraduate,0
Vikram Malhotra,37,203221,706,Salaried,0.37,46686,12,2,1,Married,Undergraduate,0
Sanjay Shinde,43,626246,835,Salaried,0.47,179157,12,7,0,Married,Undergraduate,1
Rahul Yadav,26,479605,688,Business,0.48,80665,36,1,1,Single,Undergraduate,1
Riya Choudhary,38,826181,655,Unemployed,0.1,182041,12,7,1,Single,Undergraduate,1
Swati Sawant,21,344672,619,Government,0.44,47279,36,5,2,Married,Postgraduate,1
Priya Saxena,42,547210,706,Salaried,0.4,165659,12,3,1,Married,Undergraduate,0
Suresh Malhotra,28,245918,557,Salaried,0.22,74731,72,2,2,Married,Graduate,1
Amit Chatterjee,23,1299995,589,Unemployed,0.36,608081,72,2,3,Married,Postgraduate,1
Sunil Sawant,35,421070,753,Self-employed,0.53,177847,60,7,0,Married,Undergraduate,1
Nitin Bhosale,32,590697,638,Self-employed,0.26,64479,72,2,2,Married,Postgraduate,1
Arjun Menon,42,469823,622,Government,0.26,160937,72,0,2,Married,Graduate,1
Manoj Pandey,61,510659,670,Salaried,0.51,187168,72,1,1,Single,Undergraduate,1
Vivek Dubey,44,200000,671,Self-employed,0.49,29762,12,3,0,Married,Undergraduate,1
Anjali Malhotra,34,635955,643,Salaried,0.1,68094,72,1,3,Married,Undergraduate,1
Sanjay Patil,32,932256,691,Government,0.59,182416,12,2,0,Single,Postgraduate,1
Deepak Joshi,31,368202,623,Salaried,0.15,138762,60,3,1,Married,Undergraduate,1
Deepak Choudhary,36,443087,714,Salaried,0.25,154884,60,3,1,Single,Postgraduate,0
Asha Tripathi,46,262501,663,Salaried,0.54,73477,48,4,0,Single,Undergraduate,1
Meena Kapoor,23,200000,723,Salaried,0.48,20882,48,1,0,Single,Graduate,1
Suresh Chatterjee,42,393825,596,Salaried,0.5,131088,48,6,2,Married,Graduate,1
Varun Gupta,39,243580,754,Salaried,0.41,43732,48,4,0,Married,Undergraduate,0
Mahesh Singh,30,439039,726,Self-employed,0.15,140134,36,6,0,Married,Graduate,0
Nisha Malhotra,21,441317,648,Business,0.43,187239,24,4,1,Married,Postgraduate,1
Shruti Bhosale,40,923185,663,Salaried,0.55,445098,24,0,1,Married,Graduate,1
Sneha Mane,46,252606,552,Salaried,0.52,29143,36,3,1,Married,Postgraduate,1
Karan Nair,30,438373,784,Unemployed,0.29,122766,48,0,0,Married,Undergraduate,1
Vivek Thakur,28,481276,584,Government,0.47,146735,24,4,1,Married,Graduate,1
Karan Nair,35,764161,726,Salaried,0.15,87288,12,3,0,Single,Postgraduate,0
Suresh Nair,26,846957,601,Salaried,0.49,308756,72,3,3,Married,Undergraduate,1
Nisha Jadhav,21,800388,737,Unemployed,0.23,86744,48,7,0,Married,Undergraduate,1
Neha Kulkarni,44,450190,625,Business,0.59,165192,48,2,1,Single,Graduate,1
Asha Iyer,42,287594,609,Salaried,0.13,139175,72,6,2,Single,Postgraduate,1
Harsh Jadhav,31,623730,674,Government,0.16,183629,36,7,0,Single,Undergraduate,0
Swati Saxena,24,1442396,713,Salaried,0.18,169473,12,0,1,Married,Graduate,0
Ankita Kadam,26,489358,748,Business,0.29,80975,60,3,0,Single,Undergraduate,0
Manoj Thakur,21,347352,653,Self-employed,0.2,157965,60,7,0,Single,Undergraduate,0
Isha Mishra,43,330532,666,Self-employed,0.48,93942,12,7,1,Single,Undergraduate,1
Ankita More,37,689898,738,Salaried,0.43,117952,12,5,0,Married,Postgraduate,0
Sneha Pawar,26,697090,818,Salaried,0.15,260794,72,3,0,Single,Postgraduate,0
Sunil Pandey,38,339657,726,Government,0.35,148185,36,4,0,Single,Undergraduate,0
Ankit Nair,49,345294,732,Self-employed,0.15,55463,36,5,0,Married,Postgraduate,0
Kavita Kapoor,49,521427,752,Business,0.48,85528,60,1,0,Married,Graduate,1
Nisha Yadav,48,500575,723,Salaried,0.24,88892,36,7,0,Single,Undergraduate,0
Ankit Sharma,38,330955,727,Salaried,0.38,130140,12,6,0,Married,Graduate,0
Varun Chavan,50,709699,734,Business,0.36,311713,36,1,0,Married,Undergraduate,0
Vivek Gupta,21,214287,591,Salaried,0.17,47623,24,7,3,Married,Graduate,1
Kavita Saxena,52,362283,697,Salaried,0.3,96022,12,7,0,Single,Postgraduate,0
Ankit Chavan,44,792758,634,Salaried,0.15,265796,72,3,1,Single,Postgraduate,1
Pooja Verma,29,485180,803,Government,0.38,165638,48,1,0,Single,Postgraduate,0
Arjun Thakur,55,987626,804,Salaried,0.11,226011,48,6,0,Single,Graduate,0
Ankita Gupta,46,319773,755,Salaried,0.36,88282,48,3,0,Married,Graduate,0
Pooja Kapoor,41,529968,633,Salaried,0.22,131733,36,0,3,Married,Postgraduate,1
Rohit Tripathi,41,627265,607,Salaried,0.19,222692,36,3,3,Single,Postgraduate,1
Pooja Joshi,45,395046,603,Government,0.52,100157,24,0,2,Single,Postgraduate,1
Anjali Choudhary,22,526666,567,Business,0.11,57762,24,5,2,Single,Graduate,1
Aditya Iyer,23,474702,538,Salaried,0.25,226087,72,1,3,Married,Postgraduate,1
Amit Pawar,45,401325,650,Salaried,0.5,113685,60,4,2,Married,Graduate,1
Sakshi Kadam,39,346840,691,Self-employed,0.55,160849,72,7,0,Single,Postgraduate,1
Sanjay Mishra,30,372114,738,Business,0.34,39206,48,7,0,Single,Undergraduate,0
Ankit Malhotra,33,420804,663,Salaried,0.23,83652,24,3,1,Single,Undergraduate,0
Sunil Saxena,26,278893,655,Salaried,0.49,35181,48,4,1,Married,Postgraduate,1
Ankita Gupta,50,200000,750,Business,0.27,91986,72,1,0,Married,Graduate,0
Isha Malhotra,38,1029873,772,Government,0.49,360218,72,4,0,Married,Postgraduate,1
Ankit Tripathi,31,253926,725,Salaried,0.38,72514,12,0,0,Single,Undergraduate,0
Deepak Mane,28,999151,701,Government,0.37,491788,72,4,1,Single,Postgraduate,0
Varun Mishra,29,733830,497,Business,0.5,234484,12,1,2,Married,Postgraduate,1
Karan Mehta,40,355897,592,Business,0.43,66352,72,1,2,Married,Graduate,1
Komal Pawar,32,415987,769,Salaried,0.47,89950,72,6,0,Single,Postgraduate,1
Ajay Mehta,48,455206,628,Salaried,0.49,82185,72,6,1,Single,Undergraduate,1
Rohit Patel,34,347537,603,Salaried,0.48,106956,72,7,1,Single,Undergraduate,1
Divya Nair,25,556681,806,Self-employed,0.38,178697,48,7,0,Single,Postgraduate,0
